Spotify;Titol;Cantant;Any
spotify:track:6fw12s3vAJQAt7lbICodwC;"I Will Survive - Original 7"" Version";Gloria Gaynor;1978
spotify:track:3Dy4REq8O09IlgiwuHQ3sk;Waterloo;ABBA;1974
spotify:track:2c3sKqWYVJ0NsE3elgRhKH;Dragostea Din Tei;O-Zone;2003
spotify:track:0GVQMLYWayDvznAkyz4esU;Tres Veces Guapa;Jorge SepÃºlveda;1956
spotify:track:2cHbN7OosXb4pA20G9Jcyg;Live And Let Die - Main Title;Paul McCartney, Wings;1973
spotify:track:5dXJ1SoksFkgdx3yxIoYNO;You're The First, The Last, My Everything;Barry White;1974
spotify:track:7Bewui7KtaMzROeteRitRz;MediterrÃ¡neo;Joan Manuel Serrat;1971
spotify:track:0VjIjW4GlUZAMYd2vXMi3b;Blinding Lights;The Weeknd;2019
spotify:track:6Pgkp4qUoTmJIPn7ReaGxL;Without You (feat. Sandro Cavazza);Avicii, Sandro Cavazza;2017
spotify:track:7jhKkbM3KZvnuqzMX5fADH;In the Summertime;Mungo Jerry;1970
spotify:track:03UrZgTINDqvnUMbbIMhql;Gangnam Style (ê°•ë‚¨ìŠ¤íƒ€ì¼);PSY;2012
spotify:track:07nrFSbS6ht0jMNpTpMfsg;Soy un TruhÃ¡n, Soy un SeÃ±or;Julio Iglesias;1977
spotify:track:2T3jgoAMbBXiMMD8pSc6QL;This Is The Life;Amy Macdonald;2007
spotify:track:4eJikwHYHJ3yMg1tvS1Mom;Chiquilla;Seguridad Social;1991
spotify:track:71yCMlsD6qbD7NmNUEoVNR;Ca plane pour moi;Plastic Bertrand;1977
spotify:track:5ZULALImTm80tzUbYQYM9d;Dance Monkey;Tones And I;2019
spotify:track:5N5k9nd479b1xpDZ4usjrg;Promises (with Sam Smith);Calvin Harris, Sam Smith, Jessie Reyez;2018
spotify:track:1rfofaqEpACxVEHIZBJe6W;Havana (feat. Young Thug);Camila Cabello, Young Thug;2017
spotify:track:1tmwswvJnwOIrskyCKVsgv;Todos los dÃ­as sale el sol;Bongo Botrako;2010
spotify:track:0mGvaKpwLYoybnIoboC3uS;Yo Te EsperarÃ©;Cali Y El Dandee;2011
spotify:track:6xunIjRX7KeF4OxFkpPeZO;TÃ³mbola;Marisol;1962
spotify:track:2aI21FnmY7TJVKeMaoQZ0t;Say It Right;Nelly Furtado;2006
spotify:track:059G9tpE3kl6wz3kiddaN0;Vivo Cantando;SalomÃ©;1969
spotify:track:4bE1OpWxbtFOdNDF7rJMta;En el Amor Todo Es Empezar (A far l'amore comincia tu) - Spanish Version;Raffaella CarrÃ ;1977
spotify:track:0gmbgwZ8iqyMPmXefof8Yf;How You Remind Me;Nickelback;2001
spotify:track:3ROd8cCRdRJpeh6P2zTAJk;Me Quedo Contigo;Los Chunguitos;1980
spotify:track:1RouRzlg8OKFeqc6LvdxmB;Felices los 4;Maluma;2017
spotify:track:2nwCO1PqpvyoFIvq3Vrj8N;These Boots Are Made For Walkin';Nancy Sinatra;1966
spotify:track:2aEeghgUcnu75tzcolFMfs;La Bamba - Single Version;Ritchie Valens;1958
spotify:track:4xuQ7KieQmHXiYdh965WQR;Canta y SÃ© Feliz;Peret;1974
spotify:track:63OFKbMaZSDZ4wtesuuq6f;Born To Be Wild;Steppenwolf;1968
spotify:track:5fc3XWSpJo6jTlbjnhGOJQ;Eva Maria;Formula V;1973
spotify:track:2GbePPrWWSRxcmW6QRSPae;Piece of My Heart;Erma Franklin;1967
spotify:track:1qDrWA6lyx8cLECdZE7TV7;Somebody That I Used To Know;Gotye, Kimbra;2011
