Spotify;Titol;Cantant;Any
spotify:track:2LawezPeJhN4AWuSB0GtAU;Have You Ever Seen The Rain;Creedence Clearwater Revival;1970
spotify:track:1TtteYFQeZfSU8AmfIAOvu;Sun Is Up;INNA;2010
spotify:track:05wIrZSwuaVWhcv5FfqeH0;Walking On Sunshine;Katrina & The Waves;1985
spotify:track:6y4FVJwf09ssxuRnlEgXkp;Let's Stick Together;Bryan Ferry;1976
spotify:track:0DcrhZ12WcCqruCs8ibXSf;I Can See Clearly Now - Edit;Johnny Nash;1972
spotify:track:5OiU5DLjmMBF7ELAjIKxCZ;Maquillaje;Mecano;1982
spotify:track:78His8pbKjbDQF7aX5asgv;Rivers of Babylon;Boney M.;1978
spotify:track:2sgBTNHz9ckmqj3rx3ez4M;Ruby;Kaiser Chiefs;2007
spotify:track:1INWPr855fwWdAOeecbu0W;Let's Twist Again;Chubby Checker;1961
spotify:track:7Cuk8jsPPoNYQWXK9XRFvG;September;Earth\, Wind & Fire;1978
spotify:track:5T8EDUDqKcs6OSOwEsfqG7;Don't Stop Me Now - Remastered 2011;Queen;1978
spotify:track:4pNiE4LCVV74vfIBaUHm1b;Sir Duke;Stevie Wonder;1977
spotify:track:4nrPB8O7Y7wsOCJdgXkthe;Shakira: Bzrp Music Sessions, Vol. 53;Bizarrap, Shakira;2023
spotify:track:1ucAgkQ4EQDCSXQ2kEk99k;UNO;Little Big;2020
spotify:track:3PR79C1jVvLLLmgdyHkXl3;That's the Way (I Like It) - 2004 Remaster;KC & The Sunshine Band;1975
spotify:track:1rIKgCH4H52lrvDcz50hS8;Lush Life;Zara Larsson;2015
spotify:track:0cGG2EouYCEEC3xfa0tDFV;Tainted Love;Soft Cell;1981
spotify:track:7rSBUr661iFb9ndIJS0xUR;La quiero a morir;Muchachito Bombo Infierno;2005
spotify:track:66y4liRr8Orq45N0I6VRAP;El Venao;Los Cantantes;1995
spotify:track:4EFkvOhgAmlHEfDfvfSoh5;Girls on Film - 2010 Remaster;Duran Duran;1981
spotify:track:1IHWl5LamUGEuP4ozKQSXZ;TitÃ­ Me PreguntÃ³;Bad Bunny;2022
spotify:track:6zSpb8dQRaw0M1dK8PBwQz;Cold Heart - PNAU Remix;Elton John, Dua Lipa, PNAU;2021
spotify:track:6ylDpki1VpIsc525KC1ojF;Tacones Rojos;Sebastian Yatra;2021
spotify:track:2EBCVPNAG46nbgs6jXPGvv;Starships;Nicki Minaj;2012
spotify:track:18mmN3VrFWRi6SsSBJf6WJ;Pasos de cero;Pablo AlborÃ¡n;2014
spotify:track:0bfvHnWWOeU1U5XeKyVLbW;Can't Take My Eyes off You;Frankie Valli;1967
spotify:track:7HTX5cE4qzHALfgO2xSvMd;Ayo Technology;Milow;2008
spotify:track:0UOxp1BpnD8uPQMKU4wKjz;I Shot The Sheriff;Eric Clapton;1974
spotify:track:5O4erNlJ74PIF6kGol1ZrC;Could You Be Loved;Bob Marley & The Wailers;1980
spotify:track:1G5JaDf4CTkyoLRAO0pAYH;Summercat;Billie The Vision & The Dancers;2008
spotify:track:6QGI6v91UlqSytTDVKZIUP;Ghostbusters;Ray Parker Jr.;1984
spotify:track:4DoEHKWh8k6vYDleECQkJx;Los Tontos;C. Tangana, Kiko Veneno;2022
spotify:track:0Z3xhSOhrawLV81YdiDiiJ;Venus;Shocking Blue;1969
spotify:track:745H5CctFr12Mo7cqa1BMH;My Girl;The Temptations;1964
spotify:track:46eu3SBuFCXWsPT39Yg3tJ;Don't Stop 'Til You Get Enough;Michael Jackson;1979
spotify:track:4nXkbcTj3nyww1cHkw5RAP;Long Train Runnin';The Doobie Brothers;1973
spotify:track:08CMK69OwVstuF3u5tNfM6;Vete - Remasterizado;Los Amaya;1973
spotify:track:6mUQ6NW9WRcCuSsi4kzdlf;Un Rayo de Sol;Los Diablos;1970
spotify:track:4VRP8DfxO2qQOZrnbaj324;Enamorate;Dvicio;2016
